system:time_start,NDVI
1.00,62.655
2.00,680.964
3.00,934.933
4.00,"1,093.26"
5.00,"1,573.03"
6.00,"1,737.96"
7.00,"3,595.97"
8.00,"3,969.52"
9.00,"3,170.35"
10.00,"1,865.63"
11.00,833.207
12.00,"1,008.40"
13.00,395.448
14.00,440.231
15.00,628.214
16.00,"1,005.27"
17.00,"1,768.83"
18.00,"1,745.07"
19.00,"2,413.81"
20.00,"2,936.25"
21.00,"4,407.62"
22.00,"1,880.11"
23.00,239
24.00,202.586
25.00,853
26.00,912.278
27.00,841.69
28.00,"1,129.50"
29.00,"1,128.35"
30.00,"2,170.24"
31.00,"4,044.86"
32.00,"5,085.66"
33.00,"2,751.93"
34.00,"1,106.38"
35.00,105.571
36.00,17.059
37.00,490.292
38.00,"1,093.81"
39.00,"1,191.89"
40.00,"1,224.75"
41.00,"1,302.80"
42.00,"3,068.66"
43.00,"5,146.28"
44.00,"4,449.71"
45.00,"2,946.45"
46.00,"2,322.42"
47.00,357.633
48.00,"1,230.21"
49.00,516.893
50.00,557.346
51.00,950.357
52.00,"1,262.83"
53.00,"1,511.97"
54.00,"2,418.07"
55.00,"3,668.84"
56.00,"4,054.19"
57.00,"2,111.33"
58.00,"3,207.18"
59.00,"1,031.83"
60.00,820.138
61.00,822.107
62.00,376.963
63.00,826.067
64.00,"1,311.43"
65.00,"1,779.86"
66.00,"2,862.50"
67.00,"2,748.07"
68.00,"4,806.07"
69.00,"3,896.55"
70.00,"4,010.07"
71.00,998.185
72.00,446
73.00,696.9
74.00,"1,134.25"
75.00,"1,094.82"
76.00,723.296
77.00,"1,336.67"
78.00,"2,035.62"
79.00,"4,718.79"
80.00,"5,315.23"
81.00,"3,631.17"
82.00,"2,377.50"
83.00,-418.722
84.00,318.091
85.00,1.217
86.00,320.154
87.00,184.677
88.00,634.464
89.00,"1,090.26"
90.00,"2,426.03"
91.00,"3,771.19"
92.00,"3,211.60"
93.00,"4,313.03"
94.00,"2,939.36"
95.00,"1,863.90"
96.00,"2,766.52"
97.00,380
98.00,455.778
99.00,817.767
100.00,"1,491.38"
101.00,"1,490.19"
102.00,"2,614.76"
103.00,"3,898.97"
104.00,"3,256.48"
105.00,"4,412.87"
106.00,"2,231.07"
107.00,"1,027.81"
108.00,297.37
109.00,"1,278.77"
110.00,"1,538.11"
111.00,796.567
112.00,837.759
113.00,"1,183.90"
114.00,"1,561.52"
115.00,"4,699.94"
116.00,"4,048.10"
117.00,"5,098.48"
118.00,"3,350.83"
119.00,697.167
120.00,499.214
121.00,709.207
122.00,940.828
123.00,"1,615.97"
124.00,"1,018.97"
125.00,"3,250.37"
126.00,"3,118.20"
127.00,"3,406.32"
128.00,"3,972.39"
129.00,"2,908.07"
130.00,"2,713.77"
131.00,565.308
132.00,345.417
133.00,604.5
134.00,684.346
135.00,790.517
136.00,506.138
137.00,"1,195.29"
138.00,"1,777.57"
139.00,"2,575.65"
140.00,"4,201.41"
141.00,"4,432"
142.00,"2,607.35"
143.00,739.538
144.00,312.125
145.00,"1,214"
146.00,619.385
147.00,"1,308.76"
148.00,849.2
149.00,"1,831.10"
150.00,"3,157.20"
151.00,"4,897.55"
152.00,"4,605.60"
153.00,"2,279.69"
154.00,361.966
155.00,"1,026.56"
156.00,838.194
157.00,"1,047.97"
158.00,"1,026.56"
159.00,838.194
160.00,"1,047.97"
161.00,"1,406.77"
162.00,"1,720.17"
163.00,"3,284"
164.00,"4,429.32"
165.00,"3,394.40"
166.00,"2,531.29"
167.00,"1,165.03"
168.00,494.2
169.00,916.621
170.00,680.241
171.00,"1,336.65"
172.00,"1,037.87"
173.00,"1,163.13"
174.00,"2,659.55"
175.00,"4,138.22"
176.00,"4,294.26"
177.00,"3,142.23"
178.00,"1,829.61"
179.00,895.867
180.00,342.821
181.00,677.161
182.00,810.286
183.00,572.9
184.00,"1,010.83"
185.00,"1,447.94"
186.00,"1,926.80"
187.00,"3,593.10"
188.00,"4,328.10"
189.00,"3,156.63"
190.00,"2,121.16"
191.00,963.733
192.00,"1,032.53"
193.00,119.129
194.00,435
195.00,914.29
196.00,957.533
197.00,"1,035.26"
198.00,"1,993.40"
199.00,"3,562.90"
200.00,"5,188.87"
201.00,"3,750.67"
202.00,"1,986.90"
203.00,23.241
204.00,444.966
205.00,542.759
206.00,324.75
207.00,655.323
208.00,820
209.00,"1,326"
210.00,"1,215.91"
211.00,"2,847.19"
212.00,"3,061.16"
213.00,"5,589.96"
214.00,"3,654.54"
215.00,"1,308.74"
216.00,634.963
217.00,137.519
218.00,739.76
219.00,587.419
220.00,"1,127"
221.00,"1,402.19"
222.00,"3,505.03"
223.00,"4,136.39"
224.00,"5,263.87"
225.00,"3,034.50"
226.00,"1,943.21"
227.00,"1,067.65"
228.00,809.452
229.00,891.2
230.00,975.926
231.00,994.355
232.00,856.733
233.00,"3,030.26"
234.00,"2,481.97"
235.00,"3,952.73"
236.00,"5,204"
237.00,"5,118.76"
238.00,"3,064.65"
239.00,"1,502.30"
240.00,233.484
241.00,261.233
242.00,937.536
243.00,"1,101.29"
244.00,"1,054.77"
